transaction_id,hashed_mobile,transaction_date,transaction_type,amount,balance_after,created_at
13,2bf9ce514cc070d4df05b8db7817810621ae89a268a1f7db0e8d5fd39a22a6e6,2025-12-17 07:13:55,savings_withdrawal,11.49,1179.49,2026-05-02 07:13:55
14,2e61f8355303065ec97f8c5b5b46a979665b5d7b66e58870026b717041d395d0,2025-08-24 07:13:55,savings_withdrawal,49.43,1910.82,2026-05-02 07:13:55
15,34ad1eafc8d6c66c5f4eaea7e4db562bb4ac4c9b9d765aef979020e25c89df8c,2026-01-16 07:13:55,savings_deposit,414.54,1774.18,2026-05-02 07:13:55
16,39848b6f0155972cc26726c4eb03825517e136222f83f3240c93294b2bc14ceb,2025-07-30 07:13:55,receive,72.28,1666.54,2026-05-02 07:13:55
17,46504371cccb710d039366bc25a501d5691d536e5abe40377987358013357ae4,2025-10-16 07:13:55,receive,104.79,1814.74,2026-05-02 07:13:55
18,4a6f244881196357ec0e4961e9e0e842f7cd8062e90ae992b107ca7fa92316b6,2025-08-13 07:13:55,send,478.88,1367.16,2026-05-02 07:13:55
19,4a83c727768f5fa3af4bc57f192e0782c92b04aa046e5b0f4bfcebfb8ad0d1f4,2025-12-24 07:13:55,savings_withdrawal,158.67,1840.14,2026-05-02 07:13:55
20,4dc998ac644c1ee085f9eb7a2599f668acb706e9f9ebdacb82aa7c90b3b38057,2025-11-16 07:13:55,savings_deposit,25.72,326.84,2026-05-02 07:13:55
21,6b05f045bd531d3e5d8b730d8d88053bde90d3eb5cf0d7ce8e4d5db6ed022ace,2025-11-11 07:13:55,send,359.76,953.75,2026-05-02 07:13:55
22,6d9d3ee7eb6fa4966ed78143580830caa88ed40cc64eac4022886a52d7d51ce5,2026-04-19 07:13:55,savings_withdrawal,202.71,562.63,2026-05-02 07:13:55
23,79e1f26666582688cf45a4a4eb39a09a03ed08db27a0dff21f01a5dcc37f3831,2026-05-02 07:13:55,receive,278.62,1626.64,2026-05-02 07:13:55
24,8a82bb654f739f06aeb747ecb532764579ac8886b85146d20415ba8effdc7bb5,2026-02-17 07:13:55,savings_deposit,38.60,265.83,2026-05-02 07:13:55
25,8f20ce23b0bed28a8849722f9c1404d909e02afcb5ba16f0f59fc321ce6d7af5,2026-02-03 07:13:55,savings_withdrawal,60.97,1322.36,2026-05-02 07:13:55
26,97bcbbda7c8ea93bd7573d129e4c20b1099187075b669e79de004fd59e6867c3,2025-08-02 07:13:55,savings_withdrawal,176.93,1937.69,2026-05-02 07:13:55
27,a216de5f6820fa41eb7f534f5821ee59905366999aad41d453f8725b52b0585c,2025-09-28 07:13:55,receive,137.93,1417.94,2026-05-02 07:13:55
28,a3a74218f0452cce394f56aefedf16dc527e66cfb11d448e9d085a4660b83dbc,2025-10-22 07:13:55,savings_deposit,367.77,1298.60,2026-05-02 07:13:55
29,a3b006d65a443aeb40144c56b19994ea9b573aed137368e70de672845eaa0a22,2025-06-26 07:13:55,airtime_topup,363.73,466.14,2026-05-02 07:13:55
30,a88c836eff4ef61eb1fef9da31419e761edb2a8a7821d8d57f038064ed1702aa,2025-07-17 07:13:55,airtime_topup,359.60,598.22,2026-05-02 07:13:55
31,adada68e85a68811c41ff09d044f3a2299d8b15bf308a8b41ce8a958ccacbf4e,2026-03-09 07:13:55,savings_withdrawal,269.42,1333.06,2026-05-02 07:13:55
32,af9184fbd8d1583203a5edac594eaa5e11af61d781c6d96128db0ef3de194bd5,2025-10-22 07:13:55,savings_deposit,173.44,682.52,2026-05-02 07:13:55
33,b4116ae3423294bd6386ddca1524097eab8827d7c6b3758f87ff29dd4df6790f,2025-11-10 07:13:55,airtime_topup,57.73,2027.74,2026-05-02 07:13:55
34,b7b4b160d951415f7589a31a9ab877a9ed2cfe19095c6b22289860be8a4d4c2b,2025-10-20 07:13:55,savings_deposit,143.41,129.44,2026-05-02 07:13:55
35,b86b501f6e9cf7a62974fe3ae5719029886310d0f9b3d3f6622adf0625bbc650,2026-01-23 07:13:55,receive,404.06,2052.22,2026-05-02 07:13:55
36,b8ce43d55e9051df85c881812752e6d7fe2d92c06572fa9640801ce6d5f81e32,2025-10-26 07:13:55,savings_deposit,367.06,1326.09,2026-05-02 07:13:55
37,c25555ecf92e33cd8e2f6df25dd0e2e3f6b5c0970916467c3b0cd708deb25df2,2025-05-31 07:13:55,savings_deposit,63.46,518.62,2026-05-02 07:13:55
38,c6619372c3bc0e4eae940e044e5294edf716cc8e814eeb0c97e42f299056b54d,2025-08-11 07:13:55,send,424.06,374.51,2026-05-02 07:13:55
39,c692369fd277805054442c37a2cd575bf68db0e961f2f86fac67631f45c99028,2026-02-18 07:13:55,airtime_topup,201.80,348.66,2026-05-02 07:13:55
40,cd04f8964617bb80cb05d9e7f1ce690ed94294c3d625aea82d32032cbeb26a6e,2025-11-12 07:13:55,savings_withdrawal,257.11,1153.99,2026-05-02 07:13:55
41,d11aa96808e753ada2843624fe78a7e386746e805573c48fbf0c7d95b9464615,2026-03-08 07:13:55,send,233.06,1477.54,2026-05-02 07:13:55
42,d12b2f87894b9735461bf9f6b1e89c487b2a540e53eb00a1a98f486ccc269622,2026-03-25 07:13:55,airtime_topup,504.47,1222.92,2026-05-02 07:13:55
43,d173f7cf04db802661e8bc37439ed4eca01a9bf288157ca5f29f7f310907b6a6,2025-06-30 07:13:55,airtime_topup,44.52,1681.77,2026-05-02 07:13:55
44,db4ec3d9746c20211f40a1e2ac3a8649b28c241a0d7282bd4d9ca944135e947c,2025-08-03 07:13:55,receive,298.67,1690.28,2026-05-02 07:13:55
45,dba5f290c7639569fd247a3769c6c1f7c23b782dda54fa6ab40121a65e3abff5,2026-02-03 07:13:55,savings_withdrawal,226.98,1441.60,2026-05-02 07:13:55
46,dbfb4c3b86836b9e80d6ebcbbc64e20b01f7ed2506c3e24bd6cecd52bc12f8a7,2026-04-13 07:13:55,receive,52.33,1457.43,2026-05-02 07:13:55
47,e5e7af36f19e10c9dc0bffd98800a797dc0887ef16f3dd220ac4a8a6f008e118,2026-03-13 07:13:55,savings_deposit,454.99,1029.33,2026-05-02 07:13:55
48,e92990f5995e627ddf4b823cf51395c9ef73fe4a1956dcf0b87646a3be08ceb6,2025-09-06 07:13:55,savings_withdrawal,212.22,906.88,2026-05-02 07:13:55
49,ea9a1714adef55ad5d55acf07111f6b5c8b65c0672a32387e93ca06efd5e4a3f,2025-07-13 07:13:55,savings_withdrawal,326.97,1584.65,2026-05-02 07:13:55
50,fe32ba6d69b6d77061f0e8df6e900da980da12ed6b9a37ea98cefcb1fcd06384,2025-07-11 07:13:55,savings_withdrawal,350.52,1977.77,2026-05-02 07:13:55
