loan_id,borrower_id,lender_id,origination_date,original_amount,current_outstanding_balance,interest_rate,tenor_months,loan_status,days_past_due,default_date,closed_date,created_at
37,30,6,2025-01-10,2200.00,1100.00,16.50,6,active,0,,,2026-05-02 07:13:55
38,31,13,2024-09-15,500.00,500.00,42.00,1,default,30,2024-10-15,,2026-05-02 07:13:55
39,32,14,2024-10-05,3000.00,3000.00,18.00,12,active,45,,,2026-05-02 07:13:55
40,45,15,2024-03-20,75000.00,25000.00,8.00,48,active,0,,,2026-05-02 07:13:55
41,46,16,2024-07-12,15000.00,0.00,11.00,12,paid,0,,2025-07-12,2026-05-02 07:13:55
42,47,17,2024-11-18,30000.00,20000.00,9.00,36,active,0,,,2026-05-02 07:13:55
43,48,18,2024-12-05,8000.00,4000.00,12.50,18,active,0,,,2026-05-02 07:13:55
44,49,19,2024-01-30,2500.00,2500.00,30.00,4,default,180,2024-07-30,,2026-05-02 07:13:55
45,50,20,2024-02-22,1200.00,1200.00,33.00,3,default,150,2024-05-22,,2026-05-02 07:13:55
46,41,19,2025-10-28,964.00,307.00,44.51,3,active,0,,,2026-05-02 07:13:55
47,42,6,2026-01-31,599.00,203.00,28.99,2,paid,0,2025-12-20,,2026-05-02 07:13:55
48,43,6,2026-04-10,729.00,790.00,28.77,1,paid,0,,,2026-05-02 07:13:55
49,44,9,2026-01-26,295.00,297.00,36.95,2,active,0,,,2026-05-02 07:13:55
50,45,8,2025-06-26,364.00,887.00,34.59,3,paid,0,,,2026-05-02 07:13:55
51,46,14,2025-10-30,673.00,882.00,41.10,3,paid,0,,,2026-05-02 07:13:55
52,47,6,2026-02-10,489.00,218.00,43.37,3,paid,36,,,2026-05-02 07:13:55
53,48,4,2026-01-30,981.00,0.00,31.55,2,active,0,,,2026-05-02 07:13:55
54,49,15,2026-02-25,981.00,579.00,28.48,3,default,0,,,2026-05-02 07:13:55
55,50,11,2026-03-25,1091.00,0.00,20.76,3,paid,0,2026-04-11,,2026-05-02 07:13:55
56,1,4,2025-11-22,925.00,473.00,43.88,3,paid,0,,,2026-05-02 07:13:55
57,2,1,2026-01-07,686.00,955.00,28.33,2,paid,0,,,2026-05-02 07:13:55
58,3,19,2025-08-07,1129.00,529.00,42.23,2,default,139,2026-03-03,,2026-05-02 07:13:55
59,4,2,2025-11-11,269.00,566.00,34.77,1,active,0,2026-03-31,,2026-05-02 07:13:55
60,5,14,2025-05-25,802.00,0.00,24.91,1,active,0,,,2026-05-02 07:13:55
61,6,14,2025-10-12,1013.00,660.00,39.97,2,default,0,,,2026-05-02 07:13:55
62,7,17,2026-04-08,1105.00,937.00,38.74,2,active,0,,,2026-05-02 07:13:55
63,8,4,2025-10-21,377.00,968.00,47.17,2,active,0,2026-03-14,,2026-05-02 07:13:55
64,9,18,2025-09-08,749.00,518.00,36.85,2,paid,0,2026-01-30,,2026-05-02 07:13:55
65,10,8,2025-11-20,237.00,294.00,21.60,3,paid,141,,,2026-05-02 07:13:55
66,11,7,2025-06-19,546.00,0.00,37.12,2,paid,0,,,2026-05-02 07:13:55
67,12,4,2025-11-30,741.00,678.00,39.75,2,paid,0,,,2026-05-02 07:13:55
68,13,8,2025-05-04,1074.00,444.00,31.10,3,active,0,2026-05-01,,2026-05-02 07:13:55
69,14,14,2026-01-16,664.00,876.00,46.58,3,paid,0,,,2026-05-02 07:13:55
70,15,2,2025-09-21,983.00,0.00,21.17,3,active,0,,,2026-05-02 07:13:55
71,16,11,2025-06-23,887.00,385.00,37.42,1,active,0,,,2026-05-02 07:13:55
72,17,11,2025-07-28,495.00,0.00,21.58,3,active,0,2026-01-17,,2026-05-02 07:13:55
73,18,13,2025-12-26,1075.00,219.00,23.92,2,active,0,,,2026-05-02 07:13:55
74,19,12,2026-02-14,508.00,666.00,26.33,1,active,215,,,2026-05-02 07:13:55
75,20,12,2026-04-05,844.00,230.00,26.20,3,paid,0,2026-01-24,,2026-05-02 07:13:55
76,21,7,2026-04-15,423.00,366.00,23.43,3,paid,0,,,2026-05-02 07:13:55
77,22,17,2025-11-25,826.00,419.00,46.38,2,default,0,,,2026-05-02 07:13:55
78,23,1,2025-09-05,465.00,983.00,45.00,1,paid,0,,,2026-05-02 07:13:55
79,24,14,2025-09-07,379.00,367.00,25.90,2,default,0,,,2026-05-02 07:13:55
80,25,9,2025-09-08,203.00,0.00,29.96,2,paid,0,,,2026-05-02 07:13:55
81,26,16,2025-07-10,1001.00,569.00,37.69,2,default,0,,,2026-05-02 07:13:55
82,27,18,2026-04-28,565.00,881.00,46.76,3,paid,0,,,2026-05-02 07:13:55
83,28,18,2026-02-12,726.00,441.00,37.40,3,default,79,,,2026-05-02 07:13:55
84,29,11,2025-07-31,341.00,835.00,39.17,3,default,0,2026-03-10,,2026-05-02 07:13:55
85,30,8,2025-05-23,822.00,621.00,44.01,2,paid,203,,,2026-05-02 07:13:55
86,31,6,2025-11-08,755.00,217.00,22.84,2,active,0,,,2026-05-02 07:13:55
87,32,11,2026-02-15,682.00,584.00,21.43,3,active,0,,,2026-05-02 07:13:55
88,33,7,2025-07-17,1194.00,965.00,20.58,1,default,0,,,2026-05-02 07:13:55
89,34,11,2025-08-20,1068.00,697.00,31.12,3,paid,0,,,2026-05-02 07:13:55
90,35,16,2026-01-23,280.00,739.00,38.67,1,active,0,,,2026-05-02 07:13:55
91,36,1,2025-09-14,343.00,758.00,20.35,3,paid,0,,,2026-05-02 07:13:55
92,37,19,2025-08-08,1040.00,0.00,34.54,2,active,0,,,2026-05-02 07:13:55
93,38,20,2026-04-02,631.00,399.00,35.58,3,active,0,2026-01-18,,2026-05-02 07:13:55
94,39,11,2025-07-12,702.00,0.00,49.15,2,active,149,,,2026-05-02 07:13:55
95,40,9,2026-01-28,1182.00,0.00,41.30,1,active,0,,,2026-05-02 07:13:55
